property_name,property_type,link,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,agePossession,description,property_id,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type
2 BHK Flat in Sector 99A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-99-a-gurgaon-450-sq-ft-r1-spid-O66187314,sector 99a,laxmi pareena,0.3,6667.0,2.0,1.0,0,not available,12.0,Relatively New,"2bhk affordable, ready to shift in sec 99a laxmi pareena sector 99a, gurgaon, haryana, india",O66187314,500.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 88A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-icon-sector-88-a-gurgaon-1617-sq-ft-spid-S69145532,sector 88a,godrej icon,1.31,8101.0,2.0,2.0,3+,study room,3.0,Relatively New,"This lovely 2 bhk apartment/flat in sector 88a gurgaon is available for sale in one of gurgaon's most popular projects, godrej icon. This property faces the north-East direction. The flat is over 1617 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. This flat is situated on the 3rd floor of this 32 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with vitrified flooring options. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, shopping centre, club house / community center, fitness centre / gym, park, lift(s), visitor parking, maintenance staff and water softening plant. The housing society ensures a continuous supply of water to your flat from municipal corporation.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",S69145532,1465.0,1.0,0.0,0.0,0.0,0.0,0.0
4 Bedroom House for sale in Sector 54 Gurgaon,house,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-54-gurgaon-160-sq-ft-r6-spid-B59842588,sector 54,independent,3.75,26042.0,4.0,4.0,3,servant room,3.0,Moderately Old,"East facing old house ready to move in f block suncity, gurugram",B59842588,1440.0,0.0,1.0,0.0,0.0,0.0,2.0
3 BHK Flat in Sector 37D Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-terra-sector-37-d-gurgaon-1832-sq-ft-spid-H70022084,sector 37d,bptp terra,1.49,8107.0,3.0,3.0,3,others,20.0,Relatively New,"Located in the popular residential address of sector 37d gurgaon, bptp terra is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The flat occupies a super built up area of 1832 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. This flat lies on the 20th level of a 23 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
The society has dedicated security guards for every tower.",H70022084,1707.0,0.0,0.0,0.0,0.0,1.0,0.0
4 BHK Flat in Sector 83 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-vatika-gurgaon-21-sector-83-gurgaon-2390-sq-ft-r1-spid-V65295042,sector 83,vatika gurgaon,1.42,8875.0,4.0,4.0,3,"study room,servant room",7.0,Relatively New,"This is a 4 bhk row flat the flat occupies a super built-Up area of 2390 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 3 balconies. The residential building has 14 floors total, this is a ready-To-Move project; The property is around 8 years old. The beautifully designed vitrified & wooden flooring.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",V65295042,2000.0,1.0,1.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 69 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-violet-sector-69-gurgaon-1538-sq-ft-spid-B69407016,sector 69,tulip violet,1.37,8908.0,3.0,3.0,1,not available,12.0,Relatively New,"Park facing corner unit tulip violet is one of the most popular destination for buying apartments/ flats in sector 69 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. Containing 3 bedroom(s), 3 bathrooms and 1 balcony, this flat is spread over a super built up area of 1538 sq.Ft. The residential building has 14 floors in total and the flat for sale is located on the 12th floor. This 0-1 year old property is available for immediate possession as the project is ready to move. The society is well equipped with many modern amenities, including swimming pool, cctv surveillance, club house / community center, fitness centre / gym, park and lift(s).
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",B69407016,1393.0,0.0,0.0,0.0,0.0,0.0,0.0
1 BHK Flat in Sector 95 Gurgaon,flat,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ramsons-kshitij-sector-95-gurgaon-3212-sq-ft-spid-T70043008,sector 95,ramsons kshitij,0.19,591.0,1.0,1.0,1,not available,14.0,Relatively New,"It's a 1 bhk furnished flat top floor, serene view and calm society
Already rented out 9300 per month rental income
Well connected to manesar, nh 8 highway, vatika, market , schools nearby
Good for investment purpose anytime",T70043008,3569.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 37C Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-corona-optus-sector-37-c-gurgaon-1735-sq-ft-spid-X70044746,sector 37c,corona optus,1.25,7176.0,3.0,3.0,3,study room,2.0,Relatively New,"This 3 bhk apartment is available for sale in corona optus, one of the most prominent projects for flats in sector 37c gurgaon. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1735 sq.Ft. The flat has a total of 10 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 1-5 years old.
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",X70044746,1564.0,1.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 79 Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-79-gurgaon-1295-sq-ft-r1-spid-Q56812416,sector 79,supertech araville,0.78,6023.0,2.0,2.0,3+,not available,17.0,Relatively New,Residential apartment for sell.The property comes with a good construction quality which ages 1-5 years old propertylocated in sector-79 gurgaon.It is a semifurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 7800000.Located on 17th floor out of the 17.,Q56812416,1173.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 67A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67-a-gurgaon-1296-sq-ft-spid-K69999718,sector 67a,ireo the corridors,1.3,10031.0,2.0,2.0,2,not available,1.0,New Property,Best in class property available at sector 67a location in gurgaon,K69999718,1296.0,0.0,0.0,0.0,0.0,0.0,0.0
4 BHK Flat in Sector 48 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-city-sector-48-gurgaon-4553-sq-ft-r3-spid-R65933608,sector 48,bestech park view city,4.25,9335.0,4.0,5.0,3+,study room,14.0,Moderately Old,"One of the best locations. Scenic views from all rooms facing tatnam villas, swimming pool and landscaped gardens, panoramic views from all terraces. Modular kitchens, modular wardrobes, wood laminate flooring in bedrooms, designer doors. Penthouse",R65933608,4124.0,1.0,0.0,0.0,0.0,0.0,2.0
4 BHK Flat in Sector 69 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tulip-violet-sector-69-gurgaon-2010-sq-ft-spid-W68278084,sector 69,tulip violet,1.68,8358.0,4.0,4.0,2,pooja room,2.0,Relatively New,"This beautiful 4 bhk flat in sector 69 gurgaon is situated in tulip violet, one of the popular residential society in gurgaon. This residential flat is north-Facing direction. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 2010 sq.Ft. This flat lies on the 2nd level of a 14 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Tulip violet is designed very well to provide modern facilities such as swimming pool, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), visitor parking, maintenance staff and security personnel. The society provides continuous water supply from borewell/tank and municipal corporation.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",W68278084,1821.0,0.0,0.0,0.0,1.0,0.0,0.0
2 BHK Flat in Sohna,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mvn-athens-sohna-gurgaon-570-sq-ft-spid-R70087278,sector nearby sohna road,mvn athens,0.24,4211.0,2.0,2.0,1,not available,12.0,Relatively New,Residential apartment for sell.Located on 12th floor out of the 14 located in sohna.It is a semifurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 2400000.The property comes with a good construction quality which ages 1-5 years old property,R70087278,516.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 99A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-conscient-habitat-sector-99-a-gurgaon-545-sq-ft-r1-spid-V62459824,sector 99a,conscient habitat,0.35,6422.0,2.0,2.0,1,not available,3.0,Relatively New,Good location with proper sunlight and air,V62459824,606.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sohna,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-1120-sq-ft-spid-O68636314,sector nearby sohna road,signature global park,0.9,8036.0,3.0,2.0,0,not available,2.0,Under Construction,Best in class property available at sector 36 sohna location in gurgaon,O68636314,1120.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 37D Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-37d-ph-2-sector-37-d-gurgaon-1305-sq-ft-spid-L70057882,sector 37d,signature global city 37d ph 2,1.07,8237.0,3.0,3.0,2,not available,2.0,Under Construction,"Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in signature global city 37d ph 2 that is situated in sector 37d gurgaon. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1305 sq.Ft. The flat has a total of 4 floors and this property is situated on 2nd floor. The flat is currently under construction stage and you can expect to get the possession of the property by october 2024. Right next to dwarka expressway, and having high end shopping mall. Prefer connecting on whatsapp and later through phone call. Urgent sale",L70057882,1450.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 95 Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ramsons-kshitij-sector-95-gurgaon-980-sq-ft-r2-spid-V59237402,sector 95,ramsons kshitij,0.45,4592.0,2.0,2.0,1,study room,2.0,Relatively New,"We are the proud owners of this 2 bhk+study room apartment available in , sector-95 gurgaon, gurgaon. This semi-Furnished apartment it is a and the unit is located on 2nd floor and has a super built-Up area of 980 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type. The apartment has 1 covered parking and 1 open parking.",V59237402,888.0,1.0,0.0,0.0,0.0,0.0,0.0
4 BHK Flat in Sector 85 Gurgaon,flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ss-the-leaf-sector-85-gurgaon-2812-sq-ft-spid-K70087544,sector 85,ss the leaf,2.13,7575.0,4.0,4.0,3,not available,6.0,Relatively New,"Ss is one of the most popular destination for buying apartments/ flats in sector 85 gurgaon. You too can be a part of this society by purchasing this 4 bhk flat here. The flat is over 2812 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 6th level of a 15 storey building. This is a ready to move project and the property is 1-5 years old.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",K70087544,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 65 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1828-sq-ft-spid-H68313326,sector 65,m3m heights,3.0,17996.0,3.0,3.0,3,not available,20.0,Under Construction,Bang on golf course extension and next to biggest shopping complex on gurgaon,H68313326,1667.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Bedroom House for sale in Sector 14 Gurgaon,house,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-gurgaon-2250-sq-ft-spid-X69899472,sector 14,independent,5.0,22222.0,3.0,3.0,3,not available,1.0,Moderately Old,"Are you planning to buy your dream home? You can consider this well-Built 3 bhk house for sale in sector 14 gurgaon and make it your new address. This house occupies a super built up area of 250 sq.Yards and contains 3 bedrooms, 3 bathrooms and 3 balconies. This 3 bhk house comes attached with 2 open parking for your vehicle(s). As the property is already ready to move, so you can easily move into this 5-10 years old house. This house is owned under freehold contract. This independent house is available at an attractive price of  5 crore.",X69899472,2250.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 99A Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pareena-laxmi-apartments-sector-99-a-gurgaon-524-sq-ft-spid-I68596870,sector 99a,pareena laxmi apartments,0.32,6107.0,2.0,2.0,2,not available,2.0,New Property,"This lovely 2 bhk apartment/flat in sector 99a gurgaon is available for sale in one of gurgaon's most popular projects, pareena laxmi apartments. The flat is over 524 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 12 floors tall residential building. As the project is already ready to move, so you can easily move even on the same day. The flat is completely new and in the exactly same situation handovered by the builder, so you can design your interior as per your requirements. The society is well equipped with many modern amenities, including security personnel, maintenance staff, community center, park and lift(s).",I68596870,473.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 81 Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-synera-sector-81-gurgaon-633-sq-ft-r2-spid-Q65738118,sector 81,signature global synera,0.4,6319.0,2.0,2.0,1,not available,12.0,Relatively New,"2bhk for sale , semi furnished, prices are negotiable
Signature global synera in sector-81, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. This housing society is now ready to be called home as families have started moving in.
Some features: Signature global synera sector-81 has 7 towers,spread over an area of 5 acres, signature global synera is one of the spacious housing societies in the gurgaon region. With all the basic amenities available, signature global synera fits into your budget and your lifestyle,sector-81 has good connectivity to some of the important areas in the proximity such as delhi jaipur expressway, sapphire 83 mall and agri business management collage and so on.
Location advantages
Delhi jaipur expressway 2 km,sapphire 83 mall 2.3 km, agri business management collage 3.5 km, aarvy healthcare hospital 4 km, bharat ram global school 4.5 km, holiday inn gurugram sector 90 4.5 km, dwarka expressway 4.5 km, singhania university, manesar 8 km, garhi harsaru junction 8 km, sphire edge a n buildwell 10 
 
 
Top facilities in this project: Solar lighting, creche/day care, property staff, power back up lift, 24x7 security, 24/7 power backup, gated community, 24/7 water supply, landscape garden.
Other facilities:Children's play area,lift(s),car parking,internal street lights
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",Q65738118,586.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 65 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-emerald-floors-premier-sector-65-gurgaon-1650-sq-ft-r1-spid-Q66912750,sector 65,emaar mgf emerald floors premier,2.35,14242.0,3.0,3.0,3,"study room,servant room",2.0,Relatively New,"Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in emaar mgf emerald floors premier that is situated in sector 65 gurgaon. This is a north-West-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1650 sq.Ft. The property is located on the 2nd floor of a 4 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, shopping centre, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and security personnel. You enjoy a 24*7 access to water in your flat.
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",Q66912750,1495.0,1.0,1.0,0.0,0.0,0.0,2.0
4 Bedroom House for sale in Sohna Road,house,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sohna-road-gurgaon-538-sq-ft-r2-spid-R67661678,sector nearby sohna road,independent,1.2,22305.0,1.0,4.0,3+,not available,4.0,Old Property,"We have a house/villa available for sale in sohna road, gurgaon. Available at price of rs 1.1 crores. It has plot area of 50 sq m. It has 1 bhk, 4 bathroom, 4 balcony.It is a freehold property",R67661678,535.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 108 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-2003-sq-ft-r16-spid-J50076234,sector 108,experion the heartsong,1.7,8487.0,3.0,4.0,3+,servant room,14.0,Relatively New,"This is a meticulously designed 3 bhk resale apartment located in sector-108, gurgaon. It is a freehold property. The flat is a spacious property and is ready to move in. Located in an integrated society of experion the heartsong, it has 4 bathroom(s) and more than 3 balcony(s). This is a feng shui/vaastu compliant property and has vitrified flooring. It is a north-East facing property which offers a wonderful view of main road, club and pool. It is a 1-5 year old, located on the 6th floor. Full power back up. It is a corner unit located in a gated society. The property offers specifications such as club house/community center, fitness centre/gym, lift(s), swimming pool, park, rain water harvesting, visitor parking, security/fire alarm, intercom facility and water storag. The apartment is approximately priced at rs. 1. 70 cr and its per sq. Ft. Cost is rs. 8487. 1 covered parking is also available.
 
 
 
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",J50076234,1500.29,0.0,1.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 78 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-umang-monsoon-breeze-sector-78-gurgaon-1853-sq-ft-spid-D67904324,sector 78,umang monsoon breeze,1.05,5666.0,3.0,3.0,3,not available,6.0,Moderately Old,3bhk multistorey apartment for resale in umang monsoon breeze at sector 78 umang monsoon breeze e tower.,D67904324,1853.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sohna,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hcbs-sports-ville-sohna-gurgaon-750-sq-ft-spid-M70188742,sector nearby sohna road,hcbs sports ville,0.2,2667.0,2.0,2.0,1,not available,4.0,New Property,"Adjacent 2 flat of 1 bhk is available
Total cost is 42 lakh",M70188742,743.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Bedroom House for sale in Sector 38 Gurgaon,house,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-38-gurgaon-1836-sq-ft-spid-O68291220,sector 38,independent,3.9,21242.0,6.0,6.0,3+,"pooja room,study room,servant room",3.0,Moderately Old,Basement ground 1st & 2nd floor constructed . North east facing. Resonable price deal. For more details & options plz contact,O68291220,1836.0,1.0,1.0,0.0,1.0,0.0,0.0
2 BHK Flat in Sohna,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-567-sq-ft-spid-H68982998,sector nearby sohna road,gls arawali homes,0.35,7000.0,2.0,2.0,2,not available,5.0,Relatively New,The flat is full furnished and ready to move,H68982998,556.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 66 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-the-enclave-sector-66-gurgaon-1920-sq-ft-spid-I69849886,sector 66,emaar mgf the enclave,2.1,12353.0,3.0,4.0,2,servant room,12.0,Relatively New,"Situated in sector 66 gurgaon, emaar mgf the enclave is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. This residential flat is north-East-Facing direction. Constructed on a super built up area of 1920 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 2 balconies. The property is located on the 12th floor of a 16 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed wood flooring enhances the beauty of the flat. The society is well equipped with many modern amenities, including swimming pool, club house / community center, fitness centre / gym, park, lift(s), visitor parking, maintenance staff, water softening plant and shopping centre. The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",I69849886,1800.0,0.0,1.0,0.0,0.0,0.0,2.0
3 BHK Flat in Sector 88A Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-icon-sector-88-a-gurgaon-1825-sq-ft-spid-O69918112,sector 88a,godrej icon,1.65,9041.0,3.0,3.0,3,not available,12.0,New Property,"Gurgaon is india's second largest information technology hub and third largest financial and banking hub. It's also home to one of india's largest medical tourism industry and is the 8th largest city in the country in terms of total wealth. Gurgaon serves as the headquarters of many of india's largest companies, is home to thousands of startup companies and has local offices for more than 250 fortune 500 companies. To live and work here, you specifically need a home like godrej icon. Just beside the dwarka expressway, here,luxurious towers stand amidst 3.73 hectares of prime locale. You can indulge at the sky terrace and garden, a part of this property.An opulent highlight of this residential complex, sky terrace has a breath-Taking view. You can enjoy an array of rooftop amenities such as a star gazing platform, reflexology court, yoga and meditation centre here. From parties to time out with loved ones, the open to sky sit outs is the place to entertain friends and family. Godrej icon is ready to take on the vision you have nurtured for it.",O69918112,1653.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 85 Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ss-the-leaf-sector-85-gurgaon-1640-sq-ft-spid-G69665996,sector 85,ss the leaf,1.05,6402.0,2.0,2.0,3,others,6.0,Relatively New,"Check out this 2 bhk apartment for sale in ss the leaf, a popular residential project that houses in-Demand flats in sector 85 gurgaon. Constructed on a super built up area of 1640 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The flat has a total of 26 floors and this property is situated on 6th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.",G69665996,1486.0,0.0,0.0,0.0,0.0,1.0,0.0
3 BHK Flat in Sector 57 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-freedom-park-life-sector-57-gurgaon-2250-sq-ft-spid-S68706654,sector 57,bptp freedom park life,2.5,11111.0,3.0,3.0,3,not available,9.0,Moderately Old,"We are the proud owners of this 3 bhk apartment available in bptp freedom park life, sector 57 gurgaon, gurgaon. This it is a and the unit is located on 9th floor and has a super built-Up area of 2250 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",S68706654,2038.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 69 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-violet-sector-69-gurgaon-1608-sq-ft-spid-Z69355178,sector 69,tulip violet,1.43,8888.0,3.0,3.0,2,pooja room,1.0,Relatively New,"This beautiful 3 bhk flat in sector 69 gurgaon is situated in tulip violet, one of the popular residential society in gurgaon. This is a west-Facing property. Constructed on a super built up area of 1608 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. The property is located on the 1st floor of a 14 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. All the modern amenities such as swimming pool, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking and shopping centre will make life easier for you. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",Z69355178,1457.0,0.0,0.0,0.0,1.0,0.0,0.0
3 BHK Flat in Sector-33 Sohna,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-nature-plus-serenity-sector-33-sohna-gurgaon-1200-sq-ft-r1-spid-H63988848,sector 33,godrej nature plus serenity,1.39,11583.0,3.0,2.0,3+,not available,23.0,Under Construction,Society is on bang on national highway with great connectivity,H63988848,1333.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 71 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chd-avenue-71-sector-71-gurgaon-1620-sq-ft-r7-spid-L44903927,sector 71,chd avenue,1.1,6790.0,3.0,3.0,3,others,11.0,Relatively New,"A Well Maintained 3bhk , Semifurnished With Two Covered Parkings. 11 Floor Of 14 Floors",L44903927,1467.0,0.0,0.0,0.0,0.0,1.0,0.0
2 BHK Flat in DLF Phase 4,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dlf-regency-park-1-dlf-city-phase-4-gurgaon-1150-sq-ft-spid-T69689326,sector 28,dlf regency park,1.24,12400.0,2.0,2.0,3+,pooja room,19.0,Moderately Old,"An excellent 2 bhk residential apartment is for sale in regency park 1 apartment dlf phase 4, gurgaon. It is well designed and spacious 2 bhk flat and 2 spacious bathrooms. With servant room. It is quite airy and gets plenty of natural sun light. The flat has area of 1150 sq. Ft. It has granite marble flooring and is semi furnished. It has good proximity to prime locations banks, mall, school and metro station. The society is having proper security and power back up.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",T69689326,1050.0,0.0,0.0,0.0,1.0,0.0,2.0
2 BHK Flat in Sector 37C Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-imperia-the-esfera-sector-37-c-gurgaon-1578-sq-ft-spid-G70042116,sector 37c,imperia the esfera,0.86,5450.0,2.0,3.0,3,"study room,others",9.0,Relatively New,"Situated in sector 37c gurgaon, imperia the esfera is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. Constructed on a super built up area of 1578 sq.Ft., the flat comprises 2 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 24 floors and this property is situated on 9th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",G70042116,1442.0,1.0,0.0,0.0,0.0,1.0,0.0
