property_name,property_type,link,sector,society,price,price_per_sqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,agePossession,description,property_id,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type
3 BHK Flat in Sector 102 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-r1-spid-R66900322,sector 102,shapoorji pallonji joyville gurugram,2.12,11447.0,3.0,3.0,3,not available,9.0,New Property,"Shapoorji only project in ncr, maven construction , facing 200 hooda park, best sector on dwarka expressway to live as it is free from any village site, direct connectivity to honda chownk from main gate of society, walking distance from dwarka express way, dps school and hospital",R66900322,1572.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sector 89 Gurgaon,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1103-sq-ft-spid-Y69756678,sector 89,smart world gems,0.97,8794.0,2.0,2.0,3+,not available,2.0,New Property,"East facing, garden facing, second floor 2.5 bhk with basement space and terrace area. Looking to sell urgently at a reasonable price. Expected possession is within a maximum duration of 3-4 months. Price is negotiable.",Y69756678,1103.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Bedroom House for sale in Sector 46 Gurgaon,house,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-1449-sq-ft-spid-V69469434,sector 46,independent,3.6,24845.0,5.0,5.0,3+,servant room,3.0,Moderately Old,161 square yard built up property available for sale in sector 46.,V69469434,1449.0,0.0,1.0,0.0,0.0,0.0,2.0
3 BHK Flat in Sector 104 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-zara-aavaas-sector-104-gurgaon-763-sq-ft-spid-X69156292,sector 104,zara aavaas,0.65,8519.0,3.0,2.0,2,not available,7.0,New Property,"Near to gurugram railway station, school, hospital, public transport on walking distance.",X69156292,848.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sohna,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-breez-global-heights-sohna-gurgaon-950-sq-ft-spid-Y67381466,sector nearby sohna road,breez global heights,0.39,4105.0,2.0,2.0,2,not available,3.0,Relatively New,"A 2 bedroom flat, located in sohna, gurgaon, is available. It is an flat located in breez global heights. Situated in a prominent locality. The flat is on 3rd floor of the building. Aesthetically designed, this property has 2 bathroom(s). The property also has 2balcony(s). The flat has a good view of the locality. The flat is a freehold property and has a super built-Up area of 700 sq.Ft. The flat offers good security.",Y67381466,720.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 113 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-vida-by-tata-housing-sector-113-gurgaon-2690-sq-ft-spid-M68451874,sector 113,la vida by tata housing,2.78,10335.0,3.0,4.0,3+,servant room,5.0,Relatively New,"Experience a new style of living with la vida by tata housing. It offers an exclusive range of 3 bhk apartments in sector 113, gurgaon. Here is a steal deal for you. 
This is a ready to move project. It has been designed keeping every small to large needs of residents in consideration. Plus, a comprehensive range of amenities including gymnasium, security cabin, lawn tennis court, party lawn, cctv camera security, etc. Make it one of the most desirable residential projects in gurgaon.",M68451874,2350.0,0.0,1.0,0.0,0.0,0.0,0.0
2 BHK Flat in Sohna,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eldeco-accolade-sohna-gurgaon-1457-sq-ft-spid-Y69765072,sector nearby sohna road,eldeco accolade,0.71,4907.0,2.0,2.0,3+,study room,10.0,Relatively New,"On the road society, hospital, malls and college near by this society, good environmental society,
 Additional details :The apartment has borings water supply.
No power backup is available.
The society has dedicated security guards for every tower.",Y69765072,1132.0,1.0,0.0,0.0,0.0,0.0,0.0
2 BHK Flat in Palam Vihar,flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-residency-palam-vihar-gurgaon-1415-sq-ft-spid-Q68401588,sector 2,bestech park view residency,0.98,6960.0,2.0,2.0,3,not available,0.0,Moderately Old,"This 2 bhk apartment is available for sale in bestech park view residency, one of the most prominent projects for flats in palam vihar, gurgaon. This residential flat is east-Facing direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1415 sq.Ft. This flat is situated on the ground floor of this 14 floors tall residential building. This 5-10 years old property is available for immediate possession as the project is ready to move. The flat comes well built with vitrified flooring options. The society complex is in the close vicinity of close to hospital, making it an ideal home for a relaxed lifestyle. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, grocery shop, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and security personnel. Municipal corporation provides a regular supply of water to this residential project.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",Q68401588,1282.0,0.0,0.0,0.0,0.0,0.0,0.0
1 BHK Flat in Palam Vihar,flat,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-residency-palam-vihar-gurgaon-651-sq-ft-spid-E69050540,sector 2,bestech park view residency,0.56,8629.0,1.0,1.0,2,not available,6.0,Moderately Old,"Situated in palam vihar, gurgaon, bestech park view residency is a well planned society that offers a pleasant living experience to its residents. This 1 bhk flat in gurgaon is your opportunity to be a part of this community. This is a east-Facing property. Constructed on a carpet area of 651 sq.Ft., the flat comprises 1 bedroom(s), 1 bathroom and 2 balconies. This flat lies on the 6th level of a 8 storey building. This 5-10 years old property is available for immediate possession as the project is ready to move. The flat comes well built with vitrified flooring options. All the modern amenities such as swimming pool, grocery shop, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, water softening plant, shopping centre and security personnel will make life easier for you. The project provides access to clean water through municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",E69050540,723.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 92 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-raheja-sampada-sector-92-gurgaon-1572-sq-ft-spid-L67904536,sector 92,raheja sampada,0.7,4453.0,3.0,3.0,0,not available,7.0,Relatively New,3bhk multistorey apartment for resale in raheja sampada at palam vihar raheja sampada palam vihar,L67904536,1572.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK Flat in Sector 86 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1930-sq-ft-spid-N69323318,sector 86,dlf new town heights,1.3,6736.0,3.0,3.0,3,servant room,12.0,Moderately Old,Its a 3bhk + servant available for sell in dlf new town height sector 86. Its a semi furnished apartment with modular kitchen and wooden wardrobes. Park and pool facing unit.,N69323318,1748.0,0.0,1.0,0.0,0.0,0.0,2.0
3 BHK Flat in Sector 90 Gurgaon,flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-1930-sq-ft-spid-Z69632358,sector 90,dlf new town heights,1.25,6504.0,3.0,3.0,3+,"pooja room,servant room",5.0,Relatively New,"Situated in sector 90 gurgaon, dlf new town heights 1 is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. This property faces the north direction. The flat is over 1930 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. The residential building has 19 floors in total and the flat for sale is located on the 5th floor. This is a ready to move project and the property is 1-5 years old. The flat comes well built with wood flooring options. The society is well equipped with many modern amenities, including swimming pool, grocery shop, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and security personnel. The society provides continuous water supply from municipal corporation and borewell/tank.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",Z69632358,1929.0,0.0,1.0,0.0,1.0,0.0,0.0
3 Bedroom House for sale in Sushant Lok Phase 1,house,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-540-sq-ft-spid-B67000852,sector 43,independent,1.9,3909.0,3.0,3.0,3+,not available,3.0,Old Property,"1 rk independent floor for sale in sector 43, gurgaon. This 1 rk unit is available in sector 43 and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in sector 43. It is on floor 2. The total number of floors is 3. The price of this independent floor is rs 1.6 cr. Residents in this project also pay monthly maintenance charges of rs 0. The built-Up area is 450 square feet. This property is at a walking distance from eye-Q super-Speciality eye hospitals, fortis memorial research institute, gurugram, and max hospital, gurugram. The citys best schools such as parul garg, the shri ram school, and delhi public school sushant lok are near your residential property c block, sushant lok i, gurgaon",B67000852,60.0,0.0,0.0,0.0,0.0,0.0,1.0
